Day,Values
1,58.1
2,53.6
3,54.2
4,58.2
5,66.5
6,58
7,55.7
8,61.3
9,49.9
10,51.6
11,53.7
12,76.7
13,67.2
14,66.6
15,54.7
16,52.3
17,60.7
18,72
19,75
20,63
21,61.6
22,53.6
23,57.6
24,35.8
25,20.8
26,20
27,25.9
28,29.2
29,38.4
30,29.7
31,31
32,34.1
33,31.1
34,35.9
35,30.5
36,28.9
37,22.9
38,26.7
39,26.6
40,36.7
41,31.7
42,31.2
43,41.9
44,33.7
45,30.6
46,26.2
47,28.6
48,26.8
49,30.9
50,30.7
51,33.2
52,28.4
53,37.2
54,37.1
55,32.6
56,29.5
57,29.5
58,29.6
59,24.6
60,30.4
61,34.2
62,39.5
63,44.3
64,37.6
65,42
66,43.2
67,44.7
68,43.3
69,32.3
70,33.8
71,42.6
72,54.1
73,44.8
74,45.2
75,46.4
76,50.8
77,57.3
78,57.3
79,54.9
80,51.6
81,57
82,55.3
83,58.4
84,51.6
85,46.3
86,44.1
87,47.7
88,51.3
89,39
90,44.8
91,42.8
92,42.8
93,50.8
94,46.1
95,62.3
96,56.7
97,53.7
98,55.2
99,57.8
100,58.2
101,54.5
102,43.4
103,52.3
104,52.4
105,52.9
106,62.4
107,59.3
108,54.1
109,48.6
110,50.8
111,50.7
112,50.8
113,61
114,56.3
115,57.4
116,69
117,67.8
118,56.4
119,53.1
120,66.6
121,67.5
122,61.2
123,69.7
124,69.8
125,75
126,60.7
127,53
128,58.8
129,60.5
130,54.6
131,60.3
132,54.5
133,68.4
134,70.1
135,69.5
136,65.3
137,77.6
138,85.4
139,68.8
140,64.9
141,70.5
142,73
143,75.6
144,80
145,81
146,68.2
147,66.9
148,72.3
149,72.1
150,67.7
151,65.5
152,74.9
153,72.9
154,87.8
155,74.3
156,84.3
157,71.3
158,70.4
159,70.6
160,73.8
161,74.2
162,78
163,78.5
164,79
165,73.2
166,82.4
167,71
168,68.3
169,75.1
170,70.9
171,67.4
172,73.2
173,60.2
174,63.8
175,61.2
176,75.5
177,83.6
178,80.7
179,82.8
180,74.2
181,76.1
182,82.3
183,72.1
184,66.1
185,70.1
186,75.8
187,76.3
188,74.9
189,77.5
190,73
191,73.7
192,70.3
193,78.1
194,75.2
195,68.5
196,70.8
197,66.9
198,59.7
199,68.2
200,64.5
201,66.4
202,84.1
203,69
204,73.2
205,76.6
206,62.4
207,81
208,71.8
209,64.7
210,67.4
211,84.5
212,74.6
213,86.4
214,85.9
215,96
216,85.5
217,83.4
218,87.7
219,85.7
220,84.7
221,81.6
222,82.3
223,83.5
224,88.9
225,77.8
226,77.6
227,84.3
228,86
229,81
230,81.9
231,75
232,76.5
233,70.6
234,73.7
235,75.7
236,89.6
237,79.3
238,73
239,75.7
240,72.4
241,78.8
242,78.6
243,79.1
244,70.2
245,78.2
246,72
247,69.7
248,71.8
249,67.6
250,72.1
251,68.5
252,68.8
253,76.7
254,79
255,80
256,79
257,79
258,79
259,80
260,71.5
261,66.5
262,74.2
263,76.2
264,76.6
265,66.8
266,57.3
267,62.1
268,65.5
269,66.9
270,65.6
271,71.2
272,65.2
273,61.5
274,72.5
275,66
276,52.2
277,43.2
278,46.4
279,55.8
280,52.5
281,59.7
282,72.4
283,67.3
284,67.7
285,68.3
286,62.8
287,61.8
288,60.6
289,61.2
290,52
291,62.6
292,61.5
293,63.7
294,60.3
295,59.1
296,69.5
297,65.8
298,68.4
299,67.2
300,66.5
301,63.2
302,56.6
303,69.4
304,66
305,81.6
306,73.2
307,62.9
308,62.1
309,65.8
310,63.5
311,72.6
312,70.9
313,65.4
314,61.7
315,60.5
316,63.2
317,62.4
318,64
319,68.9
320,72.2
321,66.8
322,61.9
323,66.1
324,67.1
325,56.7
326,56.8
327,56.4
328,54.4
329,47.9
330,56.1
331,57.1
332,58
333,66.5
334,80.3
335,67
336,56
337,52
338,56.8
339,64.1
340,72
341,67.4
342,55.7
343,59.5
344,61
345,62
346,58
347,70.3
348,70.3
349,60.1
350,61.4
351,56.2
352,62.9
353,43.5
354,85.5
355,69
356,58.6
357,60.8
358,57.7
359,54.9
360,61.4
361,64
362,62.3
363,73.1
364,56.5
365,54.3
366,71.3
